pair_id,video1,video2,pair_feature,trajectory1_feature,trajectory2_feature,dist
0,mg_demo_2477,mg_demo_3362,"(1, 1)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.94695998679335, 5.252630516297795, 6.342468257979347, 6.827937805168853, 0.43178292749445335, 2.5351853678676814, 5.999999999999999, 6.395223142496601, 0.20599882012298654, 3.3846967653909696, 0.5769230769230766, 0.0, 9.651162790697677, 9.214784626549752, 9.39170914800027, 7.150960512935063, 8.315523560835778, 8.315523560835778, 7.652986761974077, 9.947373394803114]",32.571135643426246
1,mg_demo_2477,mg_demo_3390,"(1, 1)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.9169997283560608, 4.6799576477190925, 8.802071584868973, 3.491908039407841, 2.8749081535511323, 7.39090644831747, 5.999999999999999, 7.37519477687892, 4.391763102629253, 6.892841605126646, 0.0, 2.78688524590164, 10.0, 8.49053953655586, 9.795797729917087, 10.0, 8.860607895361946, 8.860607895361946, 4.442620976383843, 6.381188716474167]",33.864056260341144
2,mg_demo_2477,mg_demo_3706,"(1, 1)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[3.246800584110729, 8.321861427448201, 5.414429781720018, 3.6944380820194045, 5.521769724559061, 4.844727814574213, 7.999999999999998, 10.0, 7.2031122976715585, 8.92973694978865, 0.7692307692307692, 3.9344262295081966, 5.581395348837211, 10.0, 10.0, 9.553255704185252, 8.085581264006985, 8.085581264006985, 3.918731219361411, 7.199554168923857]",28.396636033866837
3,mg_demo_2477,mg_demo_3864,"(1, 1)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[1.6764091339377434, 10.0, 5.884815110816442, 1.7274981391148483, 3.555027888093347, 7.288932019376878, 10.0, 7.407060893687338, 7.369367866901557, 9.302319009578303, 0.1923076923076925, 3.606557377049181, 9.883720930232561, 8.033425578058615, 8.413603486036983, 6.709107343261654, 10.0, 10.0, 7.922304014582908, 5.1186941968936495]",29.180952531605275
4,mg_demo_2477,mg_demo_3106,"(1, 2)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[9.999999999999998, 3.2518925572510335, 4.8321701328555005, 4.427007133682765, 0.0, 8.231305600598615, 7.999999999999998, 9.030593415694836, 5.192553170517532, 6.532413039547127, 0.9615384615384617, 4.590163934426229, 9.418604651162791, 7.795946513927829, 9.284764063637684, 6.186962488162998, 8.410237159106257, 8.410237159106257, 3.461418896257956, 9.360641011035622]",34.51762693613786
5,mg_demo_2477,mh_demo_26,"(1, 3)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.0, 0.6145637025432453, 0.0, 1.7686004538176339, 4.198094831123141, 2.5935188117286767, 0.0, 7.835787765294638, 7.993039074416489, 8.695555731397327, 7.500000000000001, 10.0, 4.186046511627908, 2.6377312378463595, 0.618883270115349, 2.3393893232396965, 0.0, 0.0, 4.955925022090376, 4.877439408125856]",50.609205887126066
6,mg_demo_2477,ph_demo_13,"(1, 3)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.04037748208320735, 6.372397224709696, 1.699010703114367, 1.30184379859803, 0.07016223057775406, 4.44823078495495, 1.9999999999999998, 4.335068519375074, 7.701515180124548, 10.0, 5.961538461538463, 9.508196721311474, 3.9534883720930245, 1.4365089079238538, 0.9096473594324108, 2.251602374310186, 0.34100048164506225, 0.34100048164506225, 2.0328296724504367, 4.812916171772933]",47.69513326492368
7,mg_demo_2477,ph_demo_193,"(1, 3)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.4871569035163833, 2.8600726463630823, 0.20916305802601975, 2.1790599219660436, 7.243404608202075, 1.6635050191640448, 1.9999999999999998, 8.968897945108914, 6.969150507122318, 7.512148051133384, 8.461538461538463, 9.01639344262295, 3.4883720930232567, 2.337675702160182, 0.05561236602747943, 2.254961957503508, 0.22083934012682382, 0.22083934012682382, 8.09104233280327, 7.854145721471648]",48.09920491423777
8,mg_demo_2477,paired_demo_123,"(1, 4)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.16655043393493252, 7.507485540692176, 2.0382135043221883, 3.10493794527965, 1.8975282690215447, 2.1169494219046654, 1.9999999999999998, 5.1333011655627185, 5.629289671629814, 7.699170620805075, 7.500000000000001, 6.39344262295082, 1.860465116279071, 1.6127706382817837, 1.6307630874216905, 1.5227939432131818, 0.18364029173853447, 0.18364029173853447, 0.0, 6.446792946977798]",49.3002162331918
9,mg_demo_2477,paired_demo_171,"(1, 4)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.10900137871208537, 4.463487535213853, 5.066444390573617, 2.6905936862901734, 5.034679910138978, 0.0, 3.999999999999999, 3.659286140637229, 4.466089837615402, 6.135699990490221, 6.538461538461539, 5.9016393442622945, 1.3953488372093032, 1.7183573133172168, 2.3195235125433835, 1.3007164744372042, 0.1993042957890132, 0.1993042957890132, 2.8648670489701433, 4.523170337241846]",52.242914006712496
